Company,GICS Sector,Weight (%)
Kinder Morgan Inc,Energy,0.11
Marathon Petroleum Corp,Energy,0.11
Motorola Solutions Inc,Information Technology,0.11
Monster Beverage Corp,Consumer Staples,0.11
3M Co,Industrials,0.11
Regeneron Pharmaceuticals Inc,Health Care,0.11
Cigna Group/The,Health Care,0.11
Royal Caribbean Cruises Ltd,Consumer Discretionary,0.11
Valero Energy Corp,Energy,0.11
Ross Stores Inc,Consumer Discretionary,0.11
Apollo Global Management Inc,Financials,0.11
Digital Realty Trust Inc,Real Estate,0.11
EOG Resources Inc,Energy,0.11
Colgate-Palmolive Co,Consumer Staples,0.11
Phillips 66,Energy,0.11
American Electric Power Co Inc,Utilities,0.11
Cintas Corp,Industrials,0.1
Robinhood Markets Inc,Financials,0.1
Republic Services Inc,Industrials,0.1
Comfort Systems USA Inc,Industrials,0.1
Simon Property Group Inc,Real Estate,0.1
NIKE Inc,Consumer Discretionary,0.1
Aon PLC,Financials,0.1
Warner Bros Discovery Inc,Communication Services,0.1
Fortinet Inc,Information Technology,0.1
Air Products and Chemicals Inc,Materials,0.1
General Motors Co,Consumer Discretionary,0.1
Lumentum Holdings,Information Technology,0.1
TransDigm Group Inc,Industrials,0.1
Travelers Cos Inc/The,Financials,0.1
Truist Financial Corp,Financials,0.1
Baker Hughes Co,Energy,0.1
AutoZone Inc,Consumer Discretionary,0.09
Keysight Technologies Inc,Information Technology,0.09
Target Corp,Consumer Staples,0.09
Sempra,Utilities,0.09
Cencora Inc,Health Care,0.09
TE Connectivity PLC,Information Technology,0.09
Carrier Global Corp,Industrials,0.09
Diamondback Energy Inc,Energy,0.09
United Rentals Inc,Industrials,0.09
ONEOK Inc,Energy,0.09
Occidental Petroleum Corp,Energy,0.09
Dominion Energy Inc,Utilities,0.09
PACCAR Inc,Industrials,0.09
Aflac Inc,Financials,0.09
L3Harris Technologies Inc,Industrials,0.09
Realty Income Corp,Real Estate,0.09
Coherent,Information Technology,0.09
Xcel Energy Inc,Utilities,0.08
Allstate Corp/The,Financials,0.08
WW Grainger Inc,Industrials,0.08
Autodesk Inc,Information Technology,0.08
AMETEK Inc,Industrials,0.08
Vistra Corp,Utilities,0.08
Arthur J Gallagher & Co,Financials,0.08
Nucor Corp,Materials,0.08
Teradyne Inc,Information Technology,0.08
