ETF,Average Daily Return,Annualised Return,Annualised Volatility
XLK,0.0007752427702713753,0.19536117810838657,0.21733606254939197
XLF,0.0005472226430126907,0.13790010603919806,0.21959272608678893
XLE,0.0003848356226255387,0.09697857690163575,0.2726831240491952
XLV,0.0005160827464717562,0.13005285211088258,0.16168897368316476
SPY,0.0005785360624384885,0.1457910877344991,0.17210728529866692
