Date,XLK_Close,XLF_Close,XLE_Close,XLV_Close,SPY_Close
2010-01-04,100.0,100.0,100.0,100.0,100.0
2010-01-05,99.87106441410369,101.8380095329161,100.8161553495172,99.01928187655969,100.26472797340537
2010-01-06,98.753748080202,102.04219489560056,102.02347234994996,100.03160246359255,100.33529390806257
2010-01-07,98.36696165935625,104.2205133663241,101.87040525336701,100.37960332148732,100.75885146765988
2010-01-08,99.01162942041624,103.60786129643309,102.53353768788496,100.53779854248548,101.09418136497892
2010-01-11,98.6248328311489,103.67592308399456,102.39757990957355,101.10723135778703,101.23536721817803
2010-01-12,97.55046791008837,102.17833980002078,100.91818167157929,100.37960332148732,100.29122506349404
2010-01-13,98.49588707683097,103.33561414618717,101.29230027659881,101.70834615974003,101.13830419343218
2010-01-14,98.753748080202,103.81213197630659,101.58134724228496,102.62576392832459,101.4118495346769
2010-01-15,97.37858091135088,101.70183263455002,100.76512562039228,101.92977016484095,100.2735723331871
2010-01-19,99.05460117010058,102.99521989119071,101.68337356434705,104.3973388721674,101.52653829778735
2010-01-20,97.46455491598444,102.72293008235029,100.10202632206209,103.51154742409305,100.49416848082511
2010-01-21,96.4331922498731,99.79577197872104,98.06153301700792,101.26539476956167,98.56174334837564
2010-01-22,93.08123307974647,96.52825161404125,95.73201483705942,100.15817136408049,96.3646352290914
2010-01-25,93.85471440564356,97.07284189637076,96.36116058834848,100.15817136408049,96.85872273408943
2010-01-26,93.59690424438053,95.37100926182075,95.74899161057999,99.58874650108481,96.45286289136968
2010-01-27,94.37044658080723,97.68549396626175,95.37491718714412,100.28471640765078,96.91168992232438
2010-01-28,91.66307382436777,97.20897613614234,94.37169701241922,99.65197528518758,95.79990081360911
2010-01-29,90.07300723340839,96.52825161404125,92.67131353836386,98.95600537862161,94.75866864223693
2010-02-01,91.10443091004933,98.16197980243525,95.73201483705942,99.52543819392318,96.23224874910342
2010-02-02,92.00686815868595,99.11501546267405,96.99025111265796,101.5817693069462,97.39700504605365
