Rank,Symbol,Security,Company,GICS Sector,Weight (%)
96,SBUX,Starbucks,Starbucks Corp,Consumer Discretionary,0.18
97,BMY,Bristol Myers Squibb,Bristol-Myers Squibb Co,Health Care,0.18
98,LMT,Lockheed Martin,Lockheed Martin Corp,Industrials,0.18
99,PGR,Progressive Corporation,Progressive Corp/The,Financials,0.18
100,NEM,Newmont,Newmont Corp,Materials,0.18
101,CRWD,CrowdStrike,Crowdstrike Holdings Inc,Information Technology,0.18
102,SYK,Stryker Corporation,Stryker Corp,Health Care,0.17
103,CEG,Constellation Energy,Constellation Energy Corp,Utilities,0.17
104,PWR,Quanta Services,Quanta Services Inc,Industrials,0.17
105,PH,Parker Hannifin,Parker-Hannifin Corp,Industrials,0.17
106,ACN,Accenture,Accenture PLC,Information Technology,0.17
107,INTU,Intuit,Intuit Inc,Information Technology,0.17
108,SO,Southern Company,Southern Co/The,Utilities,0.17
109,VRTX,Vertex Pharmaceuticals,Vertex Pharmaceuticals Inc,Health Care,0.16
110,TT,Trane Technologies,Trane Technologies PLC,Industrials,0.16
111,EQIX,Equinix,Equinix Inc,Real Estate,0.16
112,CVS,CVS Health,CVS Health Corp,Health Care,0.16
113,CME,CME Group,CME Group Inc,Financials,0.16
114,MDT,Medtronic,Medtronic PLC,Health Care,0.16
115,ADBE,Adobe Inc.,Adobe Inc,Information Technology,0.15
116,DUK,Duke Energy,Duke Energy Corp,Utilities,0.15
117,MCK,McKesson Corporation,McKesson Corp,Health Care,0.15
118,CMCSA,Comcast,Comcast Corp,Communication Services,0.15
119,HCA,HCA Healthcare,HCA Healthcare Inc,Health Care,0.15
120,HWM,Howmet Aerospace,Howmet Aerospace Inc,Industrials,0.15
121,CDNS,Cadence Design Systems,Cadence Design Systems Inc,Information Technology,0.14
122,MAR,Marriott International,Marriott International Inc/MD,Consumer Discretionary,0.14
123,NOW,ServiceNow,ServiceNow Inc,Information Technology,0.14
124,FDX,FedEx,FedEx Corp,Industrials,0.14
125,SNPS,Synopsys,Synopsys Inc,Information Technology,0.14
126,GD,General Dynamics,General Dynamics Corp,Industrials,0.14
127,KKR,KKR & Co.,KKR & Co Inc,Financials,0.14
128,WMB,Williams Companies,Williams Cos Inc/The,Energy,0.14
129,WM,Waste Management,Waste Management Inc,Industrials,0.14
130,BK,BNY Mellon,Bank of New York Mellon Corp/The,Financials,0.14
131,UPS,United Parcel Service,United Parcel Service Inc,Industrials,0.14
132,CMI,Cummins,Cummins Inc,Industrials,0.14
133,JCI,Johnson Controls,Johnson Controls International plc,Industrials,0.14
134,PNC,PNC Financial Services,PNC Financial Services Group Inc/The,Financials,0.14
135,ICE,Intercontinental Exchange,Intercontinental Exchange Inc,Financials,0.13
136,USB,U.S. Bancorp,US Bancorp,Financials,0.13
137,ADP,Automatic Data Processing,Automatic Data Processing Inc,Industrials,0.13
138,SLB,Schlumberger,SLB Ltd,Energy,0.13
139,AMT,American Tower,American Tower Corp,Real Estate,0.13
140,ABNB,Airbnb,Airbnb Inc,Consumer Discretionary,0.13
141,BSX,Boston Scientific,Boston Scientific Corp,Health Care,0.13
142,CSX,CSX Corporation,CSX Corp,Industrials,0.13
143,FCX,Freeport-McMoRan,Freeport-McMoRan Inc,Materials,0.12
144,ELV,Elevance Health,Elevance Health Inc,Health Care,0.12
145,NOC,Northrop Grumman,Northrop Grumman Corp,Industrials,0.12
146,ORLY,O’Reilly Automotive,O'Reilly Automotive Inc,Consumer Discretionary,0.12
147,MRSH,Marsh McLennan,Marsh & McLennan Cos Inc,Financials,0.12
148,MCO,Moody's Corporation,Moody's Corp,Financials,0.12
149,MDLZ,Mondelez International,Mondelez International Inc,Consumer Staples,0.12
150,SHW,Sherwin-Williams,Sherwin-Williams Co/The,Materials,0.12
151,MPWR,Monolithic Power Systems,Monolithic Power Systems Inc,Information Technology,0.12
152,EMR,Emerson Electric,Emerson Electric Co,Industrials,0.12
153,CRH,CRH plc,CRH PLC,Materials,0.12
154,DASH,DoorDash,DoorDash Inc,Consumer Discretionary,0.12
155,CIEN,Ciena,Ciena,Information Technology,0.12
156,MNST,Monster Beverage,Monster Beverage Corp,Consumer Staples,0.11
157,APO,Apollo Global Management,Apollo Global Management Inc,Financials,0.11
158,CI,Cigna,Cigna Group/The,Health Care,0.11
159,NXPI,NXP Semiconductors,NXP Semiconductors NV,Information Technology,0.11
160,EOG,EOG Resources,EOG Resources Inc,Energy,0.11
161,AEP,American Electric Power,American Electric Power Co Inc,Utilities,0.11
162,MMM,3M,3M Co,Industrials,0.11
163,VLO,Valero Energy,Valero Energy Corp,Energy,0.11
164,ROST,Ross Stores,Ross Stores Inc,Consumer Discretionary,0.11
165,ITW,Illinois Tool Works,Illinois Tool Works Inc,Industrials,0.11
166,REGN,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals Inc,Health Care,0.11
167,ECL,Ecolab,Ecolab Inc,Materials,0.11
168,HLT,Hilton Worldwide,Hilton Worldwide Holdings Inc,Consumer Discretionary,0.11
169,MPC,Marathon Petroleum,Marathon Petroleum Corp,Energy,0.11
170,MSI,Motorola Solutions,Motorola Solutions Inc,Information Technology,0.11
171,KMI,Kinder Morgan,Kinder Morgan Inc,Energy,0.11
172,RCL,Royal Caribbean Group,Royal Caribbean Cruises Ltd,Consumer Discretionary,0.11
173,NSC,Norfolk Southern,Norfolk Southern Corp,Industrials,0.11
174,PSX,Phillips 66,Phillips 66,Energy,0.11
175,DLR,Digital Realty,Digital Realty Trust Inc,Real Estate,0.11
176,CL,Colgate-Palmolive,Colgate-Palmolive Co,Consumer Staples,0.11
177,BKR,Baker Hughes,Baker Hughes Co,Energy,0.1
178,GM,General Motors,General Motors Co,Consumer Discretionary,0.1
179,CTAS,Cintas,Cintas Corp,Industrials,0.1
180,LITE,Lumentum,Lumentum Holdings,Information Technology,0.1
181,WBD,Warner Bros. Discovery,Warner Bros Discovery Inc,Communication Services,0.1
182,APD,Air Products,Air Products and Chemicals Inc,Materials,0.1
183,AON,Aon plc,Aon PLC,Financials,0.1
184,HOOD,Robinhood Markets,Robinhood Markets Inc,Financials,0.1
185,SPG,Simon Property Group,Simon Property Group Inc,Real Estate,0.1
186,NKE,"Nike, Inc.",NIKE Inc,Consumer Discretionary,0.1
187,FIX,Comfort Systems USA,Comfort Systems USA Inc,Industrials,0.1
188,TDG,TransDigm Group,TransDigm Group Inc,Industrials,0.1
189,TRV,Travelers Companies (The),Travelers Cos Inc/The,Financials,0.1
190,RSG,Republic Services,Republic Services Inc,Industrials,0.1
191,TFC,Truist Financial,Truist Financial Corp,Financials,0.1
192,FTNT,Fortinet,Fortinet Inc,Information Technology,0.1
193,SRE,Sempra,Sempra,Utilities,0.09
194,COHR,Coherent Corp.,Coherent,Information Technology,0.09
195,PCAR,Paccar,PACCAR Inc,Industrials,0.09
196,TEL,TE Connectivity,TE Connectivity PLC,Information Technology,0.09
197,KEYS,Keysight Technologies,Keysight Technologies Inc,Information Technology,0.09
198,O,Realty Income,Realty Income Corp,Real Estate,0.09
199,URI,United Rentals,United Rentals Inc,Industrials,0.09
200,AZO,AutoZone,AutoZone Inc,Consumer Discretionary,0.09
201,COR,Cencora,Cencora Inc,Health Care,0.09
202,TGT,Target Corporation,Target Corp,Consumer Staples,0.09
203,FANG,Diamondback Energy,Diamondback Energy Inc,Energy,0.09
