Rank,Symbol,Security,Company,GICS Sector,Weight (%)
409,TSCO,Tractor Supply,Tractor Supply Co,Consumer Discretionary,0.03
410,VTRS,Viatris,Viatris Inc,Health Care,0.03
411,AMCR,Amcor,Amcor PLC,Materials,0.03
412,CDW,CDW Corporation,CDW Corp/DE,Information Technology,0.03
413,WY,Weyerhaeuser,Weyerhaeuser Co,Real Estate,0.03
414,INVH,Invitation Homes,Invitation Homes Inc,Real Estate,0.03
415,ESS,Essex Property Trust,Essex Property Trust Inc,Real Estate,0.03
416,IP,International Paper,International Paper Co,Materials,0.03
417,NVR,"NVR, Inc.",NVR Inc,Consumer Discretionary,0.03
418,TXT,Textron,Textron Inc,Industrials,0.03
419,BALL,Ball Corporation,Ball Corp,Materials,0.02
420,SMCI,Supermicro,Super Micro Computer Inc,Information Technology,0.02
421,PTC,PTC Inc.,PTC Inc,Information Technology,0.02
422,ZBH,Zimmer Biomet,Zimmer Biomet Holdings Inc,Health Care,0.02
423,IEX,IDEX Corporation,IDEX Corp,Industrials,0.02
424,TRMB,Trimble Inc.,Trimble Inc,Information Technology,0.02
425,NDSN,Nordson Corporation,Nordson Corp,Industrials,0.02
426,KIM,Kimco Realty,Kimco Realty Corp,Real Estate,0.02
427,BEN,Franklin Resources,Franklin Resources Inc,Financials,0.02
428,LULU,Lululemon Athletica,Lululemon Athletica Inc,Consumer Discretionary,0.02
429,AKAM,Akamai Technologies,Akamai Technologies Inc,Information Technology,0.02
430,GNRC,Generac,Generac Holdings Inc,Industrials,0.02
431,J,Jacobs Solutions,Jacobs Solutions Inc,Industrials,0.02
432,MAA,Mid-America Apartment Communities,Mid-America Apartment Communities Inc,Real Estate,0.02
433,HST,Host Hotels & Resorts,Host Hotels & Resorts Inc,Real Estate,0.02
434,GPC,Genuine Parts Company,Genuine Parts Co,Consumer Discretionary,0.02
435,REG,Regency Centers,Regency Centers Corp,Real Estate,0.02
436,MAS,Masco,Masco Corp,Industrials,0.02
437,DECK,Deckers Brands,Deckers Outdoor Corp,Consumer Discretionary,0.02
438,HII,Huntington Ingalls Industries,Huntington Ingalls Industries Inc,Industrials,0.02
439,APA,APA Corporation,APA Corp,Energy,0.02
440,CSGP,CoStar Group,CoStar Group Inc,Real Estate,0.02
441,TYL,Tyler Technologies,Tyler Technologies Inc,Information Technology,0.02
442,EG,Everest Group,Everest Group Ltd,Financials,0.02
443,TKO,TKO Group Holdings,TKO Group Holdings Inc,Communication Services,0.02
444,MKC,McCormick & Company,McCormick & Co Inc/MD,Consumer Staples,0.02
445,HAS,Hasbro,Hasbro Inc,Consumer Discretionary,0.02
446,APTV,Aptiv,Aptiv PLC,Consumer Discretionary,0.02
447,ALGN,Align Technology,Align Technology Inc,Health Care,0.02
448,FOX,Fox Corporation (Class B),Fox Corp,Communication Services,0.02
449,PNR,Pentair,Pentair PLC,Industrials,0.02
450,FOXA,Fox Corporation (Class A),Fox Corp,Communication Services,0.02
451,BBY,Best Buy,Best Buy Co Inc,Consumer Discretionary,0.02
452,AVY,Avery Dennison,Avery Dennison Corp,Materials,0.02
453,PNW,Pinnacle West Capital,Pinnacle West Capital Corp,Utilities,0.02
454,PSKY,Paramount Skydance Corporation,Paramount Skydance Corp,Communication Services,0.02
455,SWK,Stanley Black & Decker,Stanley Black & Decker Inc,Industrials,0.02
456,COO,Cooper Companies (The),Cooper Cos Inc/The,Health Care,0.02
457,PODD,Insulet Corporation,Insulet Corp,Health Care,0.02
458,GL,Globe Life,Globe Life Inc,Financials,0.02
459,UDR,"UDR, Inc.",UDR Inc,Real Estate,0.02
460,HRL,Hormel Foods,Hormel Foods Corp,Consumer Staples,0.02
461,GEN,Gen Digital,Gen Digital Inc,Information Technology,0.02
462,BF.B,Brown–Forman,Brown-Forman Corp,Consumer Staples,0.02
463,ALLE,Allegion,Allegion plc,Industrials,0.02
464,SOLV,Solventum,Solventum Corp,Health Care,0.02
465,AIZ,Assurant,Assurant Inc,Financials,0.02
466,GDDY,GoDaddy,GoDaddy Inc,Information Technology,0.02
467,IVZ,Invesco,Invesco Ltd,Financials,0.02
468,DOC,Healthpeak Properties,Healthpeak Properties Inc,Real Estate,0.02
469,TTD,Trade Desk (The),Trade Desk Inc/The,Communication Services,0.02
470,ERIE,Erie Indemnity,Erie Indemnity Co,Financials,0.02
471,DPZ,Domino's,Domino's Pizza Inc,Consumer Discretionary,0.02
472,JKHY,Jack Henry & Associates,Jack Henry & Associates Inc,Financials,0.02
473,WYNN,Wynn Resorts,Wynn Resorts Ltd,Consumer Discretionary,0.02
474,ZBRA,Zebra Technologies,Zebra Technologies Corp,Information Technology,0.02
475,CLX,Clorox,Clorox Co/The,Consumer Staples,0.02
476,SWKS,Skyworks Solutions,Skyworks Solutions Inc,Information Technology,0.02
477,CPT,Camden Property Trust,Camden Property Trust,Real Estate,0.02
478,SJM,J.M. Smucker Company (The),J M Smucker Co/The,Consumer Staples,0.02
479,UHS,Universal Health Services,Universal Health Services Inc,Health Care,0.02
480,AES,AES Corporation,AES Corp/The,Utilities,0.02
481,DVA,DaVita,DaVita Inc,Health Care,0.02
482,FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Real Estate,0.02
483,IT,Gartner,Gartner Inc,Information Technology,0.02
484,MGM,MGM Resorts,MGM Resorts International,Consumer Discretionary,0.01
485,RVTY,Revvity,Revvity Inc,Health Care,0.01
486,NWSA,News Corp (Class A),News Corp,Communication Services,0.01
487,BXP,"BXP, Inc.",BXP Inc,Real Estate,0.01
488,BAX,Baxter International,Baxter International Inc,Health Care,0.01
489,NCLH,Norwegian Cruise Line Holdings,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary,0.01
490,TECH,Bio-Techne,Bio-Techne Corp,Health Care,0.01
491,HSIC,Henry Schein,Henry Schein Inc,Health Care,0.01
492,AOS,A. O. Smith,A O Smith Corp,Industrials,0.01
493,FDS,FactSet,FactSet Research Systems Inc,Financials,0.01
494,CRL,Charles River Laboratories,Charles River Laboratories International Inc,Health Care,0.01
495,BLDR,Builders FirstSource,Builders FirstSource Inc,Industrials,0.01
496,TAP,Molson Coors Beverage Company,Molson Coors Beverage Co,Consumer Staples,0.01
497,POOL,Pool Corporation,Pool Corp,Consumer Discretionary,0.01
498,MOS,Mosaic Company (The),Mosaic Co/The,Materials,0.01
499,ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities Inc,Real Estate,0.01
500,CAG,Conagra Brands,Conagra Brands Inc,Consumer Staples,0.01
501,CPB,Campbell's Company (The),Campbell's Company/The,Consumer Staples,0.01
502,EPAM,EPAM Systems,EPAM Systems Inc,Information Technology,0.01
503,NWS,News Corp (Class B),News Corp,Communication Services,0.01
