Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
2010-01-04,9.3787841796875,9.386845201310637,9.310267033373504,9.326388307878444,16898800
2010-01-05,9.366691589355469,9.390873882752338,9.310265981849026,9.390873882752338,39976400
2010-01-06,9.261900901794434,9.370722378428932,9.253839880841966,9.366691867952698,20048200
2010-01-07,9.225625038146973,9.269959874849928,9.193381730201486,9.269959874849928,14584800
2010-01-08,9.286087036132812,9.294147291010033,9.181296035313709,9.213539361047161,23772400
2010-01-11,9.249810218811035,9.330418122806483,9.205475371931708,9.32638761229552,30477800
2010-01-12,9.1490478515625,9.209503959118678,9.11277403328057,9.197412430110996,19485600
2010-01-13,9.237716674804688,9.249808203703392,9.108743441516284,9.189351327950982,20107400
2010-01-14,9.261900901794434,9.294144216863032,9.217566824038403,9.229657586725834,15013200
2010-01-15,9.132926940917969,9.286083252300891,9.104714138489854,9.278022231966798,27066600
2010-01-19,9.290117263793945,9.290117263793945,9.15308293009337,9.15308293009337,14965600
2010-01-20,9.140990257263184,9.21756843218936,9.056351059978168,9.21756843218936,29398000
2010-01-21,9.04426097869873,9.213538617320468,9.016048167052018,9.169203759737657,25606800
2010-01-22,8.729887962341309,9.028138892144137,8.717796427943634,9.028138892144137,67402400
2010-01-25,8.802431106567383,8.85885670060273,8.754065762579183,8.810492125355593,66680200
2010-01-26,8.778251647949219,8.887072361695935,8.737947309760175,8.78631190059398,32250600
2010-01-27,8.850800514221191,8.870953072194718,8.71779670656185,8.782284123335652,35370000
2010-01-28,8.596881866455078,8.818554556776796,8.560608041676433,8.806463794344749,46278600
2010-01-29,8.447752952575684,8.689578105987179,8.40744940095791,8.677487347998236,53794800
2010-02-01,8.544487953186035,8.564639739193476,8.484031057680994,8.488061568630753,38415000
2010-02-02,8.629125595092773,8.653307889859015,8.524334626117339,8.572699984391113,27391200
2010-02-03,8.649277687072754,8.669430240712858,8.588821563635078,8.59688258509112,29566400
2010-02-04,8.407455444335938,8.613006934051493,8.399394420721636,8.59688488682289,32978200
2010-02-05,8.492091178894043,8.50821322098315,8.346995875057187,8.419543526975614,46507400
2010-02-08,8.455816268920898,8.55254620283118,8.44372550764535,8.50418162024663,45887600
2010-02-09,8.528363227844238,8.608971884011229,8.471937629772015,8.548515007515427,31774800
2010-02-10,8.50418472290039,8.560610346082331,8.45178884245305,8.548518811654146,20846800
2010-02-11,8.592852592468262,8.625095911495219,8.443727530246598,8.504183657329472,30349600
