Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,84.79635620117188,84.84124788269942,83.43458667929008,84.07806075420723,118944600
2010-01-05,85.02083587646484,85.05824942358781,84.43722107578378,84.74399617837582,111579900
2010-01-06,85.08067321777344,85.29017532695063,84.87117110859626,84.93850862575849,116074400
2010-01-07,85.43983459472656,85.54458566258876,84.68412556928773,84.92355739704493,131091100
2010-01-08,85.72418212890625,85.76159568155796,85.04329999699722,85.21538863877906,126402800
2010-01-11,85.84390258789062,86.14318818085562,85.47726803204701,86.10578033598838,106375700
2010-01-12,85.04330444335938,85.45482500151054,84.71408343003289,85.27525249810834,163333500
2010-01-13,85.7615966796875,86.00102857732769,84.82631493757633,85.2602813274508,161822000
2010-01-14,85.9935531616211,86.15067982469026,85.61195657502037,85.66433212937676,115718800
2010-01-15,85.02833557128906,85.92620378448578,84.69911456248039,85.8439042407905,212283100
2010-01-19,86.09080505371094,86.1431805987205,84.9909129000037,85.01336445515604,139172700
2010-01-20,85.21539306640625,85.634397477044,84.5345108991199,85.50720052502996,216490200
2010-01-21,83.57676696777344,85.49970583500635,83.47201587839159,85.23782811155172,344859600
2010-01-22,81.71369934082031,83.60670878425232,81.62391023326165,83.20266636299894,345942400
2010-01-25,82.1326675415039,82.61153686214541,81.86331175461835,82.46188841553727,186937500
2010-01-26,81.78851318359375,82.65645735092019,81.58649484589206,81.8109590312821,211168800
2010-01-27,82.17758178710938,82.36463810236265,81.05524389558973,81.68375037475799,271863600
2010-01-28,81.23482513427734,82.49184393689407,80.74099937709201,82.44695224310622,316104000
2010-01-29,80.35189819335938,82.15512354026353,80.22470128823053,81.58647082935745,310677600
2010-02-01,81.6014404296875,81.6089242802473,80.43421091659629,80.92055844988609,187865000
2010-02-02,82.589111328125,82.74623796517771,81.46677331331452,81.75110259717724,216327900
2010-02-03,82.17758178710938,82.66392934846903,81.93814993192541,82.21498962505659,172730700
2010-02-04,79.64111328125,81.57901432421097,79.62614557650903,81.5416064793721,356715700
2010-02-05,79.80570983886719,79.97031460271101,78.24939991111465,79.73088274524953,493585800
2010-02-08,79.22955322265625,80.30699916400835,79.16969384624684,79.86554339861934,224166900
2010-02-09,80.22471618652344,80.92056593178255,79.51389873876083,80.1573729422695,337820500
2010-02-10,80.06759643554688,80.50904665270076,79.39419247772142,80.09752613461761,240511500
2010-02-11,80.90560913085938,80.99539823246123,79.49894745680375,79.96284925231997,223591600
2010-02-12,80.8382568359375,80.88314852429394,79.69347311480281,80.05261803866573,304622100
2010-02-16,82.1102523803711,82.19255762963103,80.67366100720871,81.45181609479833,159317500
2010-02-17,82.49932098388672,82.61155591760517,82.11024064146352,82.50679912656365,168845100
2010-02-18,82.98567962646484,83.15776826708161,82.33472149087635,82.36465119109374,193708600
2010-02-19,83.15777587890625,83.47951305006012,82.5741609425125,82.76870115747947,222684900
2010-02-22,83.17271423339844,83.48696744078788,82.92579855251883,83.46452159861794,132346900
2010-02-23,82.16265869140625,83.20269191217022,81.94567256288954,82.94829792539748,207497000
2010-02-24,82.9183349609375,83.05301575536754,82.20003929347943,82.40954148292472,176350700
2010-02-25,82.80611419677734,82.86597360644457,81.51168728664179,81.73615151013261,259634700
2010-02-26,82.85844421386719,83.1427733992646,82.38706446595137,82.88089005302923,173589300
2010-03-01,83.71892547607422,83.80123071291916,83.1802023652731,83.20264821013885,147709700
2010-03-02,83.95088195800781,84.35492433189098,83.80123917146133,84.07808460592936,160992400
2010-03-03,84.02569580078125,84.52700533596384,83.81618794076695,84.16785471301624,150785000
2010-03-04,84.28010559082031,84.39982439063003,83.82368765643227,84.13794094317292,135770400
2010-03-05,85.48473358154297,85.55207111299062,84.62427341473223,84.8262974260863,176118800
2010-03-08,85.49971008300781,85.68676642455578,85.35006729317203,85.49223193947059,114631200
2010-03-09,85.641845703125,86.03840409944203,85.20039562677346,85.24528730680797,154556700
2010-03-10,86.0234603881836,86.25540839565495,85.60445606281446,85.6792774482724,186088800
2010-03-11,86.38262939453125,86.40508095408056,85.55958250811902,85.82146028445372,160791100
2010-03-12,86.39010620117188,86.77170276328116,86.15067429540872,86.7567350581358,162074800
2010-03-15,86.41254425048828,86.47240364865269,85.74662414430193,86.24045561639863,146816800
2010-03-16,87.10091400146484,87.18321353650232,86.41254235468918,86.6519742335875,168673000
2010-03-17,87.6171646118164,87.90149382449385,87.10837127747799,87.36277079889965,177468100
2010-03-18,87.57227325439453,87.74436184412319,87.22060651646431,87.62464878716042,196509100
2010-03-19,87.1290054321289,88.12072966572507,86.7909141078495,87.1290054321289,226641100
2010-03-22,87.59481811523438,87.75259751725838,86.5805555325873,86.63314675592416,184477800
2010-03-23,88.21090698242188,88.28603649288902,87.43705640176903,87.72255656636409,182941600
2010-03-24,87.78263854980469,88.22591231415304,86.83599659640667,87.88031205198999,196072600
2010-03-25,87.63990783691406,88.78189123998504,87.53472538131597,88.37618502610071,223396300
2010-03-26,87.58733367919922,88.21842853578322,87.24173329602012,87.80521330311942,205808500
2010-03-29,88.14325714111328,88.30103078030712,87.66993622353179,88.03056004682846,134513500
2010-03-30,88.2033462524414,88.5264081375617,87.83520783098241,88.24842278878012,145772500
2010-03-31,87.90287780761719,88.2935547424534,87.60986867348632,87.86531018241483,161078700
2010-04-01,88.50392150878906,88.84200719261474,87.97800343926463,88.50392150878906,161215200
2010-04-05,89.22517395019531,89.2852741222208,88.59407342180447,88.84200597695853,105847600
2010-04-06,89.4355239868164,89.59329765963325,88.87204412732186,88.96971190610937,110384200
2010-04-07,88.9246597290039,89.67596641428983,88.5114387592906,89.25523650477454,184576300
2010-04-08,89.23268127441406,89.3829460317948,88.35365393879074,88.61661009918903,158704000
2010-04-09,89.8187026977539,89.85626458702924,89.25522277049576,89.42050540093287,133006500
2010-04-12,89.96143341064453,90.19434230970676,89.82619801932283,89.93138046457156,110279000
2010-04-13,90.02906799316406,90.18684168560836,89.40548216206457,89.87129430071978,125043600
2010-04-14,91.05083465576172,91.05083465576172,90.21688399972655,90.35962833395739,161609000
2010-04-15,91.12599182128906,91.33635678360733,90.87054455846308,90.90059751479644,144615300
2010-04-16,89.67594146728516,91.12596319578518,89.21764405819356,90.80290118170444,366786700
2010-04-19,90.01404571533203,90.10420457466694,89.00729758015846,89.41300384914346,217947800
2010-04-20,90.81793212890625,90.89306736821733,90.05911665358738,90.57751426634714,157708000
2010-04-21,90.65265655517578,91.08090108528664,90.14927677991102,90.87053042367592,192910100
2010-04-22,90.92312622070312,91.0358233620773,89.49564820334597,90.01404588244363,115360300
2010-04-23,91.51663970947266,91.5542073259558,90.63009784139739,90.86300674596856,177335500
2010-04-26,91.17106628417969,91.74957564920955,91.080913149277,91.5467196316481,143457300
2010-04-27,89.01483154296875,91.16356370198979,88.84202845813019,90.645165911506,355853300
2010-04-28,89.69097900390625,89.91637327459968,88.85702822716074,89.44305218456077,300674100
2010-04-29,90.80290222167969,90.99072884290077,90.20936941077944,90.2319076882038,193775000
2010-04-30,89.2627182006836,90.91559584304657,89.24017992412635,90.81792233528068,270000900
2010-05-03,90.41973114013672,90.66766364714157,89.5557275664011,89.69096295822071,182747900
2010-05-04,88.29352569580078,89.42799996591934,87.84274300174445,89.41297635998974,360353400
2010-05-05,87.76763153076172,88.50391447678939,87.12902210537858,87.57229022148677,328973200
2010-05-06,84.85255432128906,87.90285674680571,78.88717913174871,87.34689156550763,647356600
2010-05-07,83.59033966064453,85.47611432669089,82.2004241667179,84.62714028017643,637558800
2010-05-10,87.27176666259766,87.63990524630893,86.33263352822232,87.00880479936156,396159600
2010-05-11,87.0238037109375,88.17330134836055,86.33260334140375,86.45280935992574,317849800
2010-05-12,88.24095916748047,88.36868564767911,87.21918171797857,87.36944647938446,235607100
2010-05-13,87.1440200805664,88.41372961934134,87.0688905935647,88.00050884281328,234452500
2010-05-14,85.56631469726562,86.64819811746518,84.79998442930088,86.49042440735523,345601400
2010-05-17,85.61137390136719,86.03961837968365,83.97352549215425,85.79920052750623,325739800
2010-05-18,84.44684600830078,86.5655299650572,84.16886055866476,86.31008279176753,360556800
2010-05-19,83.96600341796875,84.72481874180654,82.91417332974257,83.97351235478968,394742700
2010-05-20,80.79551696777344,82.56108643005413,80.74292573211451,82.17791843767354,530418300
2010-05-21,81.97504425048828,82.17789446255905,79.15764516498075,79.5708659903271,500909400
2010-05-24,80.92322540283203,82.18542059852547,80.84809589647215,81.53178185596522,269823000
2010-05-25,81.00587463378906,81.04344225532,78.42137818324919,78.96983450472372,396505200
2010-05-26,80.51753997802734,82.24554773051005,80.27712205639644,81.50175568109185,349719300
2010-05-27,83.2147216796875,83.2447746319116,81.72713207067484,82.0351705319609,300870500
2010-05-28,82.17039489746094,83.18465753752443,81.7797123031166,83.12455164116164,297933500
2010-06-01,80.78799438476562,82.60615490465152,80.66778831446628,81.40406554158704,277909400
2010-06-02,82.89163970947266,82.89914864671519,80.77295580840526,81.20120024376952,240243700
2010-06-03,83.17715454101562,83.44011070949031,82.32818013079316,83.13207797842412,226618300
2010-06-04,80.25457000732422,82.14035116006842,79.98409917537626,81.59940949617251,398475600
2010-06-07,79.25528717041016,80.8480583324629,79.19518703245461,80.54002004789147,264609100
2010-06-08,80.10431671142578,80.2620904193452,78.62424170073406,79.31544243981385,357774300
2010-06-09,79.67606353759766,81.35147396817783,79.33797214402651,80.57011445247583,268023300
2010-06-10,82.005126953125,82.10279476000606,79.66856267176117,81.03594062817211,317890600
2010-06-11,82.40330505371094,82.45589628447513,81.23126863552925,81.28385986629344,214128200
2010-06-14,82.27557373046875,83.48517761448926,82.1929295596092,83.03438914361406,207196100
2010-06-15,84.14633178710938,84.22146129408793,82.71133355615893,82.85408363182796,238268700
2010-06-16,84.11627960205078,84.46187992290284,83.54528502620155,83.71057338226429,216374000
2010-06-17,84.25149536132812,84.39424540500484,83.43257417436998,84.35667779392801,263185800
2010-06-18,84.3428726196289,84.64482046932184,84.07111494747642,84.41835958205215,174006600
2010-06-21,84.10130310058594,85.4525351529754,83.63327476202099,85.39214904419728,213140700
2010-06-22,82.71231842041016,84.47119269171708,82.59154044431477,84.10130258086276,239355400
2010-06-23,82.45567321777344,83.05957470175078,81.88951233694614,82.76517150446348,254639900
2010-06-24,81.08931732177734,82.15370231833853,80.87795155887345,82.04801943688658,268523600
2010-06-25,81.42901611328125,81.8441972106162,80.59864240004131,81.33087789665197,238726500
2010-06-28,81.17236328125,81.76872003783589,80.87796011473472,81.54980382901684,169218600
2010-06-29,78.66613006591797,81.15723909161785,78.16791171634817,80.03246251591553,373649500
