Price,Close,High,Low,Open,Volume
Ticker,XLV,XLV,XLV,XLV,XLV
Date,,,,,
2010-01-04,23.98484992980957,23.992437844531597,23.726866618247648,23.878620570947938,5580900
2010-01-05,23.74962615966797,24.03037318282291,23.74962615966797,23.946907577811277,5428600
2010-01-06,23.992429733276367,23.992429733276367,23.749620885999494,23.749620885999494,4883600
2010-01-07,24.075897216796875,24.075897216796875,23.848265609460327,23.90137955468909,6114600
2010-01-08,24.113840103149414,24.136602398669392,23.946908884020708,24.12142801740496,4284800
2010-01-11,24.250417709350586,24.28076936573614,24.144189806494413,24.24283124250083,4177700
2010-01-12,24.075897216796875,24.212476760097392,23.984845152760844,24.144186988447135,5791400
2010-01-13,24.394594192504883,24.470470462497907,24.129021458540965,24.136609374989686,8056100
2010-01-14,24.614635467529297,24.622224830896496,24.349065639558063,24.440117738506196,7801400
2010-01-15,24.447702407836914,24.66015822942171,24.303533476481388,24.523578659976202,9691800
2010-01-19,25.0395450592041,25.04713152655401,24.531167806449847,24.531167806449847,17749900
2010-01-20,24.827089309692383,25.160948869408234,24.63739578598017,25.123010743564482,16706200
2010-01-21,24.288352966308594,24.940899029124477,24.265590673952246,24.819495312402424,15057200
2010-01-22,24.02278709411621,24.447701618052395,23.97726105485401,24.212480612829857,13221000
2010-01-25,24.02278709411621,24.265594566510206,24.000023350861763,24.265594566510206,7485600
2010-01-26,23.886211395263672,24.007615151110873,23.75721972377016,23.931738889141567,9292600
2010-01-27,24.053138732910156,24.09107685772443,23.77239168864577,23.80274334629454,13238800
2010-01-28,23.901376724243164,24.159359953871842,23.83308696067991,24.129008304623156,12890200
2010-01-29,23.73444938659668,24.04554658651041,23.73444938659668,23.977256816066284,11902000
2010-02-01,23.87102699279785,23.93931676184752,23.673747045817038,23.772387019307445,6463000
2010-02-02,24.364234924316406,24.37182139115083,23.8103287743724,23.939320419257083,9894100
2010-02-03,24.0379638671875,24.30353364602109,23.962086167272155,24.280771349119213,5967400
2010-02-04,23.43093490600586,23.924139046406975,23.415760529525155,23.84067346315518,10027700
2010-02-05,23.39300537109375,23.506821196284285,22.96809228166728,23.362655159758084,14325900
2010-02-08,23.27918815612793,23.484057497588164,23.210898375641182,23.40817980290882,6971500
2010-02-09,23.4612979888916,23.673755282884983,23.279192357145952,23.57511382782677,8632900
2010-02-10,23.317121505737305,23.48405268930256,23.135015944140406,23.48405268930256,7047300
2010-02-11,23.476470947265625,23.5523486463531,23.135022024995358,23.165373683529044,4335600
2010-02-12,23.423357009887695,23.4688830504761,23.142609957224604,23.30195182290739,6966800
2010-02-16,23.62822723388672,23.65857889542072,23.38541973060223,23.65857889542072,5786100
2010-02-17,23.810331344604492,23.931736535759963,23.67375321814231,23.71169134539623,10161600
2010-02-18,23.924148559570312,23.939322942084935,23.757217326688426,23.817919198487264,5326600
2010-02-19,23.924148559570312,23.977262516488445,23.787568986211237,23.84827085801007,4369300
2010-02-22,23.855854034423828,24.00760796015478,23.704098661446384,24.00760796015478,6989700
2010-02-23,23.62822723388672,23.878622652554707,23.582701188832598,23.787570562446465,4313800
2010-02-24,23.802738189697266,23.848264219061026,23.613044712227477,23.696508858186647,4352100
2010-02-25,23.817916870117188,23.817916870117188,23.521995454932128,23.635811272522794,5437900
2010-02-26,23.825510025024414,23.954501699266537,23.76480814580735,23.85586168825642,8794500
2010-03-01,24.053138732910156,24.1366028969509,23.82550564228443,23.82550564228443,6249900
2010-03-02,24.13660430908203,24.23524575496495,24.060726607767506,24.091078267192028,5321100
2010-03-03,24.0379638671875,24.250419690254375,24.00002429360645,24.250419690254375,5066800
2010-03-04,23.96209144592285,24.083495213632954,23.87103789651674,24.068319380857425,10135600
2010-03-05,24.295948028564453,24.295948028564453,23.984850750549622,24.015200963229535,5832200
2010-03-08,24.15177345275879,24.303527366130403,24.144185540003253,24.303527366130403,4370700
2010-03-09,24.13660430908203,24.1973061806843,24.04555222530202,24.075902437479765,4838900
2010-03-10,24.15177345275879,24.23523904582332,24.11383533622748,24.15177345275879,4063400
2010-03-11,24.341468811035156,24.341468811035156,24.015194345716804,24.144185970367424,6033900
2010-03-12,24.159364700317383,24.37940985886245,24.09866283714057,24.37940985886245,4899700
2010-03-15,24.318708419799805,24.318708419799805,24.113840520342276,24.15936655941654,5500100
2010-03-16,24.38700294494629,24.402178776671416,24.22766105357338,24.318713149430195,5494000
2010-03-17,24.394594192504883,24.45529462960047,24.28077689302118,24.371828995911645,11159700
2010-03-18,24.561513900756836,24.629803677457456,24.33388227658582,24.3945855867611,7125700
2010-03-19,24.552379608154297,24.70464300826623,24.461022729760256,24.552379608154297,8386700
2010-03-22,24.71225929260254,24.887361217594364,24.590449131556777,24.590449131556777,7909200
2010-03-23,24.834068298339844,24.834068298339844,24.628513116603404,24.681804878070274,5713500
2010-03-24,24.567607879638672,24.818840038049668,24.567607879638672,24.788389679339513,6315000
2010-03-25,24.4686336517334,24.75031904338704,24.44579515905904,24.75031904338704,5120600
2010-03-26,24.285921096801758,24.52954284458089,24.240242654383206,24.52954284458089,6811000
2010-03-29,24.544775009155273,24.544775009155273,24.34683165917279,24.354444976640718,4818700
2010-03-30,24.544775009155273,24.575225374843324,24.44580333416403,24.544775009155273,3440100
2010-03-31,24.46101951599121,24.575214872934698,24.354434569079775,24.506696497095636,4834400
2010-04-01,24.598066329956055,24.64374332974549,24.46102952222053,24.59045156053541,5602900
2010-04-05,24.529537200927734,24.681797672563796,24.49146917883638,24.620894064745837,4655600
2010-04-06,24.514310836791992,24.559987817101526,24.453404324136116,24.461019090309286,3978900
2010-04-07,24.407737731933594,24.514321270261714,24.2935394241914,24.514321270261714,4733200
2010-04-08,24.316373825073242,24.3772788976558,24.23262880573792,24.331599004150277,4561700
2010-04-09,24.42295265197754,24.453403002477323,24.316367712681654,24.354432828943043,4155000
2010-04-12,24.354442596435547,24.499092710005606,24.346829279711685,24.392509180054873,4513500
2010-04-13,24.37727928161621,24.430571039453902,24.24024250312415,24.30876089237018,7279200
2010-04-14,24.293529510498047,24.392501143207404,24.20217264409533,24.392501143207404,6331200
2010-04-15,24.225017547607422,24.32398920651701,24.156499153621276,24.30876257405529,5119600
